Salon_BusinessID,Permit_Number,SalonName,Salon St No,SalonStName,Salon St Ext,Salon Neighborhood,Salon State,Salon Zip,Salon Closed,Services Nails,Services Tanning,Services Hair,Services Spa,Services Wax,Services Other,Number Tables,Number Baths,Salon_First_Visit,Salon_Last_Visit,Permit Start,Permit End,Application Date,Application Type,Previous Permit,Permit_Use and Occupancy,Permit_Flammable Storage,Permit_Salon BOC License,Permit_Cosmetologist Licenses,Permit_Ventilation,Permit_Work with BPHC,Permit Fee,Date Passed Inspection
842,2013N-00117,Betty's Beauty Spa,664,Washington,ST,South Dorchester,MA,2124,0,1,0,0,0,1,,6,6,,10/23/2012 12:00:00 AM,10/24/2013 12:00:00 AM,10/24/2014 12:00:00 AM,09/10/2013 12:00:00 AM,Renewal,2012N-00089,1,1,1,1,1,0,260,10/03/2013 12:00:00 AM
842,2014N-00128,Betty's Beauty Spa,664,Washington,ST,South Dorchester,MA,2124,0,1,0,0,0,1,,6,6,,10/23/2012 12:00:00 AM,10/25/2014 12:00:00 AM,10/25/2015 12:00:00 AM,09/15/2014 12:00:00 AM,Renewal,2013N-00117,0,0,1,1,0,0,260,
843,2011N-00050,Garden Nail & Spa,526,Gallivan,BL,South Dorchester,MA,2124,0,1,0,0,0,1,,8,8,07/27/2012 12:00:00 AM,,07/27/2012 12:00:00 AM,07/26/2013 12:00:00 AM,10/17/2011 12:00:00 AM,New,2011N-00050,1,0,1,1,1,0,340,05/14/2014 12:00:00 AM
843,2013N-00174,Garden Nail & Spa,526,Gallivan,BL,South Dorchester,MA,2124,0,1,0,0,0,1,,18,11,07/27/2012 12:00:00 AM,,07/28/2013 12:00:00 AM,07/28/2014 12:00:00 AM,12/23/2013 12:00:00 AM,Renewal,2011N-00050,0,0,1,1,0,0,600,05/14/2014 12:00:00 AM
844,2011N-00028,K & K Nails Spa,516,Gallivan,BL,South Dorchester,MA,2124,0,1,0,0,0,1,,5,7,10/05/2011 12:00:00 AM,12/13/2012 12:00:00 AM,10/05/2011 12:00:00 AM,10/04/2012 12:00:00 AM,09/12/2011 12:00:00 AM,New,2011N-00028,1,1,1,1,1,1,260,12/13/2012 12:00:00 AM
844,2012N-00103,K & K Nails Spa,516,Gallivan,BL,South Dorchester,MA,2124,0,1,0,0,0,1,,5,7,10/05/2011 12:00:00 AM,12/13/2012 12:00:00 AM,12/13/2012 12:00:00 AM,12/13/2013 12:00:00 AM,12/13/2012 12:00:00 AM,Renewal,2011N-00028,1,1,1,1,1,0,260,12/13/2012 12:00:00 AM
844,2014N-00025,K & K Nails Spa,516,Gallivan,BL,South Dorchester,MA,2124,0,1,0,0,0,1,,5,7,10/05/2011 12:00:00 AM,12/13/2012 12:00:00 AM,12/14/2013 12:00:00 AM,12/14/2014 12:00:00 AM,02/01/2014 12:00:00 AM,Renewal,2013N-00028,1,1,1,1,1,0,260,12/13/2012 12:00:00 AM
844,2014N-00141,K & K Nails Spa,516,Gallivan,BL,South Dorchester,MA,2124,0,1,0,0,0,1,,5,7,10/05/2011 12:00:00 AM,12/13/2012 12:00:00 AM,12/15/2014 12:00:00 AM,12/15/2015 12:00:00 AM,10/08/2014 12:00:00 AM,Renewal,2014N-00025,0,0,0,0,0,0,260,
845,2013N-00158,Nails & Spa,624,Gallivan,BL,South Dorchester,MA,2124,0,1,1,0,0,1,,15,10,,,11/18/2013 12:00:00 AM,11/18/2014 12:00:00 AM,11/18/2013 12:00:00 AM,New,,1,0,1,1,0,0,520,02/18/2014 12:00:00 AM
846,2011N-00033,Fancy Nail Salon,640,Gallivan,BL,South Dorchester,MA,2124,0,1,1,0,1,1,MASSAGE,18,9,10/11/2011 12:00:00 AM,,10/11/2011 12:00:00 AM,10/10/2012 12:00:00 AM,09/22/2011 12:00:00 AM,New,2011N-00033,1,1,1,1,1,0,560,10/12/2011 12:00:00 AM
